ratio_loss_0.1,ratio_loss_0.2,ratio_loss_0.6,ratio_loss_0.8,ratio_loss_0.9
0.000236541221966,0.0002222355105914,0.000171322535607,0.0001287132326979,0.0001355794374831
0.0002233519917353,0.0002053691714536,0.0001764259504852,0.0001359472225885,0.0001339709269814
0.0002314871380804,0.0002128558116964,0.0001677760010352,0.0001249401830136,0.0001282503799302
0.0002177680726163,0.0002012444019783,0.0001653947401791,0.0001307088969042,0.0001237648975802
0.0002373004099354,0.0002136335824616,0.0001802086480893,0.0001225089508807,0.0001294376852456
0.0002361173683311,0.000201992545044,0.0001795278221834,0.0001341056486126,0.0001238530530827
0.0002225227071903,0.0002051637566182,0.0001627992314752,0.0001268815103685,0.0001226952299475
0.0002137212868547,0.0002024522982537,0.0001688481279416,0.0001253915252164,0.0001212660426972
0.0002206516801379,0.0001962802198249,0.0001734951802063,0.0001241859426954,0.0001244475570274
0.0002135605318471,0.0002021321561187,0.000154305336764,0.0001284876925637,0.0001214080984937
0.0002242454793304,0.0001997947547351,0.0001644256408326,0.0001229536428581,0.00011582839943
0.0002057113451883,0.0002073302748613,0.0001681624562479,0.0001161289401352,0.0001199925027322
0.0002090383641188,0.0001979023218154,0.0001602953561814,0.0001158724626293,0.0001198883692268
0.0002093828225042,0.0001872153370641,0.0001523525570519,0.0001179089813376,0.0001182779669761
0.0002052120980806,0.0001844088255893,0.0001451029384043,0.000112512607302,0.0001136362698161
0.0002055723889498,0.0001927236444316,0.0001533436006866,0.0001162577464128,0.0001209534384543
0.0002128581982105,0.0001911195577122,0.000154429115355,0.0001146776194218,0.0001155526915681
0.0002109018969349,0.0001776348799467,0.0001457700709579,0.0001146513750427,0.0001189270915347
0.0001999051455641,0.0001878735638456,0.0001514632022008,0.0001132597972173,0.0001140648382715
0.0002074941439786,0.0001935308682732,0.0001559089141665,0.0001140171734732,0.0001073022576747
0.000199331290787,0.0001779650337994,0.0001547928404761,0.0001115821069106,0.0001047631958499
0.000196288441657,0.0001811140828067,0.000153039683937,0.0001148161463788,0.0001043074880726
0.000192975916434,0.0001800045283744,0.0001519343495601,0.0001093705941457,0.000113592352136
0.0001838089083321,0.0001693192753009,0.0001388268137816,0.0001058413909049,0.0001031538195093
0.0001853777939686,0.0001783671905286,0.0001434256555512,0.0001086877164198,0.0001027039324981
0.0001878200273495,0.0001659617992118,0.0001415181468473,0.0001113327671191,0.0001004976948024
0.0001898980262922,0.0001686738396529,0.0001409724645782,0.0001045538083417,0.0001049223938025
0.0001940150104928,0.0001810336834751,0.0001305025652982,0.0001099408182199,0.0001046770339598
0.000177319656359,0.0001725138281472,0.0001388393575325,0.0001084651303244,9.84028883976e-05
0.0001809810928534,0.0001783525221981,0.0001350179663859,0.0001006892853183,9.83548379736e-05
0.0001809324021451,0.0001678972912486,0.0001361941394861,0.0001004583318717,0.0001029374470817
0.0001814679708331,0.0001693991216598,0.0001343080366495,9.89936015685e-05,0.0001057077897712
0.0001806288346415,0.0001683770969975,0.0001308158971369,9.64851060416e-05,0.0001009532716125
