0warm,5warm,10warm,15warm,20warm,25warm,30warm,35warm,40warm
0.0002995025133714,0.0001491178118158,0.0001281054137507,0.0001221760321641,0.0001083275710698,0.0001125383714679,9.96074231807e-05,0.0001043165102601,0.0001061988295987
0.0003250284062232,0.0001586966245668,0.0001438438048353,0.0001267315528821,0.0001035555033013,0.0001127272262237,0.0001057627669069,0.0001118660366046,9.49982641031e-05
0.0002976013929583,0.0001512298040324,0.0001330759259872,0.0001261672732653,0.0001052045554388,0.000113366280857,0.000108478081529,0.0001087440468836,9.92306449916e-05
0.0003011730150319,0.0001581115939188,0.0001441929780412,0.0001253267546417,0.0001001912387437,0.000114724098239,9.94309957604e-05,0.0001098221619031,9.4608971267e-05
0.0003258976794313,0.0001447837421437,0.0001322487369179,0.0001179460596176,0.0001072816157829,0.0001082483504433,9.85522492555e-05,0.000105605693534,9.78558455244e-05
0.0003082212060689,0.0001467899273848,0.0001298287825193,0.0001220742415171,0.0001045013777911,0.0001135948987212,0.000103109057818,0.0001004808145808,9.63094644248e-05
0.0002774753957055,0.000143572295201,0.0001296931295655,0.0001202484418172,0.0001022975193336,0.0001120646920753,0.0001073107414413,9.72637353697e-05,9.17866709642e-05
0.0002819871006067,0.0001450110721634,0.0001318773429375,0.0001197346718981,9.69212414929e-05,0.0001060296053765,0.0001054138556355,9.72737761912e-05,9.3410606496e-05
0.0002877104561775,0.0001458535698475,0.0001376166183035,0.0001202604180434,0.000106515653897,0.0001111481979023,0.0001006189413601,0.0001051524741342,9.75199873209e-05
0.0002684495411813,0.0001408983953297,0.0001242338330484,0.0001157128863269,0.0001025673118419,0.0001103560207411,9.33986448217e-05,9.54017887124e-05,8.86414636624e-05
0.000274664023891,0.0001418207539245,0.0001239654811797,0.0001110529701691,9.65726940194e-05,0.0001103262620745,9.88127139862e-05,9.53523995121e-05,8.82083404576e-05
0.000291889096843,0.0001398321182932,0.0001253588416147,0.0001168027083622,0.0001004519435809,0.0001081765876733,9.25531276152e-05,9.3488532002e-05,8.95572156878e-05
0.0002811925369314,0.0001380688190693,0.0001262213190784,0.0001133224723162,9.99278854578e-05,0.0001091087178792,9.29103553062e-05,9.7270894912e-05,8.99874721653e-05
0.0002623269683681,0.0001396960869897,0.0001290788641199,0.0001095569023163,9.71559929894e-05,0.0001073241874109,9.16970093385e-05,9.71564877545e-05,8.77446436788e-05
0.0002551687648519,0.0001355502899968,0.0001261210563825,0.0001148392620962,0.0001021259377012,0.0001079739013221,0.0001001616255962,9.15725686354e-05,8.81493324413e-05
0.0002595623373053,0.000138468138175,0.0001262842997675,0.0001113244943553,9.41341349971e-05,0.0001063497984432,9.88108076853e-05,9.10488597583e-05,8.69418945512e-05
0.0002688341774046,0.0001331706444034,0.00012661209621,0.0001095278930733,9.80492332018e-05,0.0001066877084667,9.0762914624e-05,9.53263152041e-05,8.6562213255e-05
0.0003233038878533,0.0001766974455676,0.0001537574717076,0.0001231319765793,0.000104886428744,0.0001204261207021,0.0001027076214086,0.0001082054368453,9.00380255188e-05
0.0004035026649944,0.0001470679126214,0.0001402708294335,0.0001119063235819,9.69659886322e-05,0.0001060216454789,9.37973236432e-05,9.30008100112e-05,8.31136567285e-05
0.0002499619149602,0.0002070571645162,0.0001513939350843,0.0001321837771683,0.0001174311182694,0.0001398140302626,0.0001263763697352,0.0001199178368551,8.06556490715e-05
0.0003428239142522,0.000207199685974,0.0001753125834511,0.000131683438667,0.0001009582265396,0.000104753220512,9.8871460068e-05,9.04097614693e-05,8.05569070507e-05
0.0003740526153706,0.0001450611453037,0.0001440422201994,0.0001064945099642,9.69224784057e-05,0.0001113744801841,9.990313265e-05,0.0001065440155798,8.46044713398e-05
0.0002787030825857,0.0001705860631773,0.0001256959221791,0.0001300432195421,0.0001174032950075,0.0001425311347702,0.0001270881330128,0.0001135284401243,7.86924938438e-05
0.0002584659087006,0.0001807022490538,0.0001423184294253,0.0001173177442979,9.6906296676e-05,0.0001052353036357,9.33108094613e-05,9.8409524071e-05,7.85898664616e-05
0.0002656155847944,0.0001605192082934,0.0001554601622046,0.0001089852885343,9.87805397016e-05,0.0001050389328156,9.36542492127e-05,0.0001008878025459,7.74584477767e-05
0.0002758720656856,0.0001372927363263,0.0001297488925047,0.0001072688319254,0.0001059503920259,0.0001242032158188,0.0001136712817242,0.0001031465362757,7.80186528572e-05
0.0002999342395924,0.0001371079706586,0.0001209584297612,0.0001124744012486,9.57626471063e-05,0.000104957493022,9.27937653614e-05,8.70033400133e-05,7.89511032053e-05
0.0002472652704454,0.0001593757478985,0.0001261703291675,0.0001189611211884,9.21525497687e-05,9.82051715254e-05,9.3758215371e-05,9.42564511206e-05,7.64206051826e-05
0.0002478734240867,0.0001554543705424,0.0001438530453015,0.0001093610844691,9.28520530578e-05,9.76305964286e-05,9.34348208829e-05,9.22684412216e-05,7.62834970373e-05
0.0002470414619892,0.0001453323784517,0.0001313644897891,0.0001065557735273,8.98171856533e-05,9.95559676084e-05,8.88147624209e-05,8.6884254415e-05,7.56665540393e-05
0.0002666550280991,0.0001303636672673,0.0001319840666837,0.0001049547718139,9.16462668101e-05,0.000102343285107,8.80724692251e-05,8.69269788381e-05,7.46982113923e-05
0.0002524821320548,0.0001331163948634,0.0001229538902407,0.0001087424097931,8.76159901963e-05,0.0001014578883768,9.18037694646e-05,9.18069126782e-05,7.97420798335e-05
0.0002380377118242,0.0001380310859531,0.0001248526823474,0.000105484155938,8.87289061211e-05,0.0001018897091853,8.9388428023e-05,8.74849865795e-05,7.25028075976e-05
0.0002444438287056,0.0001377690205117,0.0001256660907529,0.0001007147366181,8.98523867363e-05,9.86337472568e-05,9.22196777537e-05,8.65856200107e-05,7.60292896302e-05
0.0002462104312144,0.0001311243686359,0.0001158053783001,0.0001063942763721,8.93921314855e-05,9.82981728157e-05,8.36827457533e-05,8.79916042322e-05,7.42021875339e-05
0.0002552548539824,0.000126675426145,0.0001137423241743,0.0001050144637702,8.46649272716e-05,9.31729882722e-05,8.67431081132e-05,8.13703081803e-05,7.12845358066e-05
0.0002352189912926,0.0001278647250728,0.0001230867783306,0.0001010716368909,8.93820688361e-05,0.0001015012167044,8.96347773959e-05,8.80368606885e-05,7.44487479096e-05
0.0002350174036109,0.0001279476564377,0.0001184710708912,9.99249459709e-05,8.65155016072e-05,9.50239045778e-05,8.1938203948e-05,8.10161582194e-05,7.42032716516e-05
